,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,502,708,660,829,872,926,"1,014","1,296","1,590","1,507","1,720","1,943","1,954"
Expenses +,383,525,476,642,689,745,813,"1,054","1,291","1,234","1,398","1,602","1,708"
Operating Profit,119,183,184,187,182,181,201,242,298,273,323,341,246
OPM %,24%,26%,28%,23%,21%,20%,20%,19%,19%,18%,19%,18%,13%
Other Income +,0,-20,-42,34,2,2,-3,4,2,-12,5,5,5
Interest,44,66,60,68,60,62,48,49,58,52,36,31,37
Depreciation,41,45,49,55,64,67,69,86,93,82,85,96,103
Profit before tax,35,51,33,98,60,53,80,112,149,127,206,219,112
Tax %,-7%,10%,24%,35%,32%,23%,16%,31%,31%,33%,36%,27%,
Net Profit,37,46,25,64,40,41,68,77,103,84,133,160,82
EPS in Rs,3.00,3.73,2.04,5.17,3.28,3.34,5.49,6.26,8.36,6.85,10.80,13.02,6.64
