,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Sales +,929,"1,021","1,434","1,956","3,540","4,022",186
Expenses +,880,977,"1,369","1,830","3,364","4,037",236
Operating Profit,50,44,65,127,176,-15,-50
OPM %,5%,4%,5%,6%,5%,-0%,-27%
Other Income +,19,42,31,24,18,9,281
Interest,33,43,64,91,107,146,255
Depreciation,4,8,11,19,19,19,18
Profit before tax,32,35,22,41,68,-172,-43
Tax %,32%,36%,36%,34%,34%,-0%,2%
Net Profit,22,22,14,27,44,-172,-42
EPS in Rs,14.81,9.92,6.08,11.23,14.42,-54.56,-15.27
