,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,53,69,74,94,97,177,239,253,218,150,181,268,286
Expenses +,46,58,63,84,82,151,214,212,197,131,158,234,246
Operating Profit,7,11,11,11,15,26,25,41,21,19,24,34,40
OPM %,13%,16%,15%,11%,16%,15%,11%,16%,10%,13%,13%,13%,14%
Other Income +,0,0,0,1,1,-4,2,2,0,1,2,3,3
Interest,1,3,2,2,4,5,4,3,4,4,2,4,4
Depreciation,1,1,1,1,2,2,2,2,1,2,2,3,3
Profit before tax,5,8,8,8,10,15,21,39,16,14,21,30,36
Tax %,1%,4%,23%,28%,27%,15%,14%,26%,27%,33%,31%,32%,
Net Profit,5,7,6,6,7,13,18,29,12,9,15,20,27
EPS in Rs,,,3.21,3.32,3.90,7.14,10.00,15.81,6.05,4.85,7.74,10.47,13.78
