,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,711,710,772,845,888,994,"1,013","1,074","1,089","1,341","1,331","1,525","1,622"
Expenses +,545,545,591,638,690,765,769,841,860,"1,038",997,"1,271","1,410"
Operating Profit,166,165,181,207,199,229,243,233,229,304,334,254,212
OPM %,23%,23%,23%,24%,22%,23%,24%,22%,21%,23%,25%,17%,13%
Other Income +,28,27,46,39,46,39,44,45,42,57,95,76,54
Interest,1,1,2,3,2,1,1,1,1,3,3,3,3
Depreciation,17,18,28,25,39,34,35,35,33,37,38,37,38
Profit before tax,175,172,198,218,204,232,252,241,237,320,388,289,226
Tax %,14%,22%,22%,38%,27%,27%,25%,28%,28%,25%,22%,25%,
Net Profit,151,134,155,135,148,169,189,174,170,240,301,216,168
EPS in Rs,8.17,7.33,8.49,7.61,8.33,9.48,10.60,9.95,9.74,14.03,17.85,12.82,10.11
