,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,491,529,582,738,785,829,883,963,"1,006","1,120","1,387","1,478","1,611"
Expenses +,415,450,500,618,653,689,713,796,860,947,"1,118","1,214","1,342"
Operating Profit,76,80,82,121,132,140,170,166,146,174,269,264,269
OPM %,15%,15%,14%,16%,17%,17%,19%,17%,15%,15%,19%,18%,17%
Other Income +,3,1,7,5,6,13,18,16,21,25,34,34,41
Interest,6,5,4,4,3,1,1,1,1,2,3,3,3
Depreciation,5,5,5,5,6,6,15,14,12,16,15,16,16
Profit before tax,67,70,81,116,129,145,172,167,154,181,285,278,291
Tax %,24%,18%,20%,20%,18%,26%,29%,24%,27%,22%,26%,25%,
Net Profit,51,57,64,93,106,107,122,126,113,141,211,209,219
EPS in Rs,10.22,11.42,12.88,18.62,21.21,21.45,24.83,25.71,23.66,29.71,45.21,44.85,47.03
