,Mar 2006,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,324,355,863,817,681,665,751,660,431,406,474
Expenses +,313,333,821,812,653,615,686,632,400,377,442
Operating Profit,12,22,42,5,28,50,65,28,31,30,32
OPM %,4%,6%,5%,1%,4%,7%,9%,4%,7%,7%,7%
Other Income +,11,11,9,12,30,21,12,26,7,17,24
Interest,9,10,42,51,54,50,50,48,37,23,20
Depreciation,8,9,21,19,22,24,20,20,16,12,12
Profit before tax,5,14,-12,-53,-18,-4,7,-12,-15,11,24
Tax %,7%,21%,27%,-4%,-4%,-112%,95%,-22%,-2%,-42%,
Net Profit,5,11,-9,-55,-19,-9,0,-15,-16,16,27
EPS in Rs,,6.69,-4.16,-25.93,-8.83,-4.02,0.15,-7.13,-7.32,7.66,12.68
