,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,501,532,741,279,167,114,270,498,328,481,264,434,816
Expenses +,310,354,545,228,184,179,392,607,698,855,299,342,699
Operating Profit,191,178,197,51,-17,-65,-122,-109,-370,-373,-35,91,118
OPM %,38%,33%,27%,18%,-10%,-58%,-45%,-22%,-113%,-78%,-13%,21%,14%
Other Income +,86,166,189,106,146,73,121,-117,-28,86,120,-119,-61
Interest,24,161,162,105,141,72,170,218,167,191,125,80,73
Depreciation,5,6,7,7,11,5,5,5,5,3,2,3,3
Profit before tax,248,179,217,46,-23,-69,-177,-449,-570,-482,-43,-110,-19
Tax %,23%,15%,10%,7%,49%,34%,-24%,-1%,-5%,-6%,28%,1%,
Net Profit,195,152,196,43,-11,-49,-222,-452,-599,-512,-32,-111,-17
EPS in Rs,6.96,5.42,6.99,1.50,-0.31,-1.67,-7.77,-16.07,-20.09,-16.26,-1.10,-3.94,-0.58
