,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,890,992,"1,095","1,313","1,298","1,216","1,494","1,704","1,689","1,795","1,943","2,123","2,415"
Expenses +,869,948,"1,026","1,221","1,235","1,132","1,300","1,603","1,572","1,648","1,792","1,981","2,282"
Operating Profit,21,44,69,93,64,84,194,101,117,147,151,142,133
OPM %,2%,4%,6%,7%,5%,7%,13%,6%,7%,8%,8%,7%,6%
Other Income +,23,-7,15,16,8,9,16,16,20,22,17,24,20
Interest,33,42,42,40,41,35,38,28,24,45,40,40,36
Depreciation,20,22,21,22,18,19,19,19,21,28,29,33,35
Profit before tax,-9,-27,20,46,13,40,153,70,92,97,99,93,81
Tax %,42%,36%,43%,36%,60%,15%,20%,16%,19%,1%,34%,29%,
Net Profit,-6,-18,6,32,7,34,122,59,75,96,65,66,58
EPS in Rs,-0.71,-2.07,0.68,3.66,0.77,3.92,13.98,6.74,8.61,11.02,7.44,7.61,6.63
