,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,622,534,497,549,634,685,806,952,"1,068"
Expenses +,547,481,467,475,534,576,613,768,848
Operating Profit,75,53,31,74,100,109,193,184,220
OPM %,12%,10%,6%,13%,16%,16%,24%,19%,21%
Other Income +,5,6,24,22,9,12,50,27,23
Interest,36,23,20,22,25,23,19,17,20
Depreciation,26,30,35,33,38,38,40,39,37
Profit before tax,18,5,0,40,46,59,184,155,187
Tax %,183%,292%,"2,400%",30%,30%,-11%,26%,25%,
Net Profit,-15,-10,-2,28,33,66,136,117,141
EPS in Rs,-2.48,-1.74,-0.41,4.88,5.66,11.37,23.68,17.63,21.25
