,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,38,52,64,68,63,73,88,87,97,113,118,139,150
Expenses +,41,48,59,60,61,68,79,84,83,94,95,111,119
Operating Profit,-3,3,6,7,1,5,9,3,14,18,23,28,31
OPM %,-7%,7%,9%,11%,2%,7%,10%,4%,14%,16%,19%,20%,21%
Other Income +,8,5,11,5,10,4,10,8,6,6,7,10,7
Interest,0,0,0,0,1,1,1,2,1,1,0,0,0
Depreciation,2,2,3,2,3,4,4,6,7,6,7,8,8
Profit before tax,3,7,14,10,7,5,13,4,12,18,23,30,30
Tax %,58%,29%,36%,20%,31%,49%,24%,20%,16%,25%,-6%,24%,
Net Profit,1,5,9,8,5,2,10,3,10,13,24,23,21
EPS in Rs,0.52,1.82,3.33,2.88,1.92,0.87,3.62,1.16,3.72,4.80,8.73,8.06,7.44
