,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,615,748,801,677,507,311,359,385,452,316,285,568,700
Expenses +,544,672,743,655,512,312,354,388,445,329,276,522,649
Operating Profit,71,76,58,22,-5,-1,6,-3,7,-13,9,46,52
OPM %,12%,10%,7%,3%,-1%,-0%,2%,-1%,2%,-4%,3%,8%,7%
Other Income +,3,23,11,-1,9,14,-30,10,46,-1,2,7,16
Interest,20,31,37,34,32,27,37,37,38,31,32,26,24
Depreciation,19,21,23,25,28,25,23,22,21,21,20,20,20
Profit before tax,36,47,9,-38,-56,-39,-84,-52,-5,-66,-42,8,23
Tax %,21%,16%,-22%,-5%,-2%,-0%,15%,-0%,-1%,0%,0%,0%,
Net Profit,28,39,11,-40,-57,-39,-72,-52,-5,-66,-42,8,23
EPS in Rs,22.40,32.51,8.91,-32.36,-46.12,-29.50,-44.86,-24.94,-1.83,-24.43,-13.53,2.03,6.10
