,Sep 2010,Sep 2011,Sep 2012,Sep 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,139.79,182.78,217.20,137.42,99.08,125.16,68.00,65.62,79.99,46.84,56.47,82.80,93.49
Expenses +,132.58,189.52,210.18,146.61,109.78,129.17,63.62,64.51,81.83,65.13,62.22,86.19,76.97
Operating Profit,7.21,-6.74,7.02,-9.19,-10.70,-4.01,4.38,1.11,-1.84,-18.29,-5.75,-3.39,16.52
OPM %,5.16%,-3.69%,3.23%,-6.69%,-10.80%,-3.20%,6.44%,1.69%,-2.30%,-39.05%,-10.18%,-4.09%,17.67%
Other Income +,5.62,17.01,8.54,2.51,3.19,11.26,13.10,21.04,30.95,31.06,16.36,11.80,13.08
Interest,9.10,7.83,8.26,14.55,13.17,20.05,23.44,18.99,24.39,17.61,23.31,11.06,14.95
Depreciation,0.57,0.63,0.62,0.67,0.91,1.76,1.11,1.03,0.74,0.62,0.46,0.35,0.35
Profit before tax,3.16,1.81,6.68,-21.90,-21.59,-14.56,-7.07,2.13,3.98,-5.46,-13.16,-3.00,14.30
Tax %,33.23%,50.28%,27.69%,15.25%,13.52%,16.55%,2.69%,166.20%,74.12%,-29.67%,-21.58%,-57.67%,
Net Profit,2.11,0.90,4.84,-18.56,-18.66,-12.22,-6.89,-1.40,1.03,-7.08,-15.99,-4.74,9.41
EPS in Rs,2.82,1.05,5.63,-21.58,-21.70,-13.50,-8.01,-3.07,-2.92,-7.84,-11.69,-1.16,11.76
