,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"1,113",718,529,511,413,390,393,293,309,321,128,176
Expenses +,"1,092",702,527,513,411,379,386,284,301,317,133,170
Operating Profit,21,16,1,-2,2,11,7,8,8,4,-6,6
OPM %,2%,2%,0%,-0%,1%,3%,2%,3%,3%,1%,-4%,3%
Other Income +,23,1,2,2,1,2,5,1,0,3,0,0
Interest,5,11,7,8,10,8,7,6,7,7,7,7
Depreciation,6,5,5,4,4,4,4,4,3,3,2,2
Profit before tax,33,1,-9,-13,-11,1,1,-1,-1,-3,-15,-3
Tax %,30%,78%,40%,28%,26%,-209%,-50%,29%,40%,14%,29%,-52%
Net Profit,23,0,-5,-9,-8,2,2,-0,-1,-2,-10,-5
EPS in Rs,26.46,0.10,-6.05,-10.34,-9.02,2.87,1.76,-0.33,-0.84,-2.59,-11.75,-5.84
