,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,340,490,664,883,"1,056","1,391","1,733","1,737","2,108","2,366","2,792","3,031"
Expenses +,315,432,554,734,871,"1,188","1,565","1,546","1,915","2,172","2,589","2,873"
Operating Profit,25,58,110,150,185,202,168,191,193,195,202,157
OPM %,7%,12%,17%,17%,18%,15%,10%,11%,9%,8%,7%,5%
Other Income +,2,6,2,6,12,7,8,7,16,11,-20,26
Interest,2,2,3,3,3,4,3,3,3,2,5,8
Depreciation,4,5,7,17,33,43,57,52,48,38,34,35
Profit before tax,21,58,102,136,161,162,116,144,158,165,143,140
Tax %,17%,21%,23%,21%,25%,20%,23%,22%,24%,27%,22%,28%
Net Profit,18,46,79,107,121,131,90,113,121,121,112,101
EPS in Rs,,,17.32,23.45,27.31,29.58,21.38,27.07,30.11,35.24,33.49,30.37
