,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,14,15,16,20,21,28,28,28,28,28,28,28
Reserves,156,218,284,400,507,720,308,-310,"-1,245","-1,375","-1,646","-1,751"
Borrowings +,462,631,824,"1,129","1,620","2,321","2,797","3,173","3,455","3,360","3,344","3,315"
Other Liabilities +,57,61,96,164,278,290,418,355,241,148,163,170
Total Liabilities,689,925,"1,220","1,712","2,426","3,359","3,551","3,246","2,480","2,162","1,890","1,763"
Fixed Assets +,367,419,436,445,792,"1,628","1,776","1,736","1,676","1,585","1,495","1,378"
CWIP,39,50,80,171,319,146,0,10,0,0,0,0
Investments,0,4,10,59,82,89,89,75,76,75,75,75
Other Assets +,282,453,694,"1,037","1,234","1,497","1,686","1,425",729,501,319,310
Total Assets,689,925,"1,220","1,712","2,426","3,359","3,551","3,246","2,480","2,162","1,890","1,763"
