,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,191","1,832","1,621","1,538","1,581","1,375","1,662","2,549","2,438","2,508","1,639","2,589","2,946"
Expenses +,"1,128","1,744","1,527","1,461","1,523","1,302","1,537","2,405","2,299","2,520","1,542","2,437","2,810"
Operating Profit,63,88,94,77,58,73,124,145,139,-12,97,152,135
OPM %,5%,5%,6%,5%,4%,5%,7%,6%,6%,-0%,6%,6%,5%
Other Income +,3,6,5,23,7,4,4,6,8,5,2,2,2
Interest,24,38,36,35,42,28,32,54,45,40,14,16,14
Depreciation,5,8,13,14,12,12,11,11,11,14,13,14,15
Profit before tax,36,48,50,52,11,38,86,86,91,-61,71,124,108
Tax %,30%,35%,28%,22%,2%,34%,33%,34%,36%,43%,26%,26%,
Net Profit,25,31,36,41,11,25,58,57,58,-34,53,92,81
EPS in Rs,8.31,10.45,12.08,13.53,3.51,8.09,18.31,17.82,18.60,-10.72,16.00,29.53,25.76
