,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,101,146,189,205,241,255,293,335,348,372,378,434,450
Expenses +,100,149,173,193,225,248,234,258,274,317,311,348,374
Operating Profit,1,-2,15,12,17,7,59,78,74,54,67,86,76
OPM %,1%,-2%,8%,6%,7%,3%,20%,23%,21%,15%,18%,20%,17%
Other Income +,0,0,3,-15,-10,-69,-0,19,16,18,17,18,19
Interest,1,-2,1,1,2,3,6,2,5,5,5,5,6
Depreciation,2,4,6,6,8,10,10,10,27,28,26,27,29
Profit before tax,-2,-4,10,-9,-3,-75,43,86,58,39,54,72,60
Tax %,-1%,-0%,0%,0%,-0%,0%,0%,14%,27%,24%,24%,25%,
Net Profit,-2,-4,10,-9,-3,-75,43,74,42,30,41,54,47
EPS in Rs,-38.84,-2.81,7.73,-6.80,-1.19,-50.80,20.22,32.52,18.68,12.97,17.83,23.40,20.61
