,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,473","1,968","2,383","2,692","3,127","1,527","1,491","1,839","5,116","5,357","4,705","5,880","6,360"
Expenses +,"1,444","2,262","2,747","2,803","3,294","1,474","1,647","1,876","5,049","4,786","3,933","4,799","6,014"
Operating Profit,29,-294,-364,-111,-167,53,-156,-37,68,571,772,"1,081",346
OPM %,2%,-15%,-15%,-4%,-5%,3%,-10%,-2%,1%,11%,16%,18%,5%
Other Income +,205,129,543,332,-735,98,55,110,42,-17,44,74,176
Interest,226,271,272,122,113,67,80,96,198,236,157,97,156
Depreciation,62,61,71,83,75,58,80,89,142,175,147,120,120
Profit before tax,-54,-497,-164,16,"-1,090",26,-261,-111,-231,143,512,939,246
Tax %,-61%,-1%,8%,150%,-4%,63%,-4%,-56%,23%,61%,-7%,11%,
Net Profit,-87,-504,-152,-4,"-1,117",96,-271,-173,-178,56,547,838,229
EPS in Rs,-0.43,-3.85,-1.01,-0.35,-10.12,0.92,-2.23,-1.47,-2.89,-2.26,0.31,1.98,0.14
