,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,3,31,85,105,130,156,115,128,110
Expenses +,3,22,64,76,110,132,96,117,116
Operating Profit,-1,9,21,29,21,24,19,11,-6
OPM %,-27%,28%,25%,28%,16%,15%,17%,9%,-5%
Other Income +,2,0,2,4,8,7,3,9,-31
Interest,0,0,1,3,2,3,4,3,2
Depreciation,0,3,1,4,4,5,4,9,9
Profit before tax,1,5,20,26,22,23,15,8,-47
Tax %,64%,29%,35%,16%,35%,38%,24%,66%,
Net Profit,0,4,13,22,14,14,11,3,-47
EPS in Rs,0.03,0.26,0.93,1.52,0.98,0.98,0.69,0.17,-3.09
