,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,060","3,559","3,899","4,230","4,688","4,833","4,729","5,619","6,475","6,509","4,243","5,838","7,413"
Expenses +,"2,669","3,167","3,421","3,632","4,066","4,136","4,087","4,716","5,337","5,633","3,862","5,142","6,492"
Operating Profit,390,393,478,597,622,697,642,903,"1,138",876,381,697,921
OPM %,13%,11%,12%,14%,13%,14%,14%,16%,18%,13%,9%,12%,12%
Other Income +,45,73,38,15,37,82,52,13,32,9,43,30,44
Interest,78,98,80,80,73,81,59,48,31,31,23,15,8
Depreciation,131,149,170,198,208,244,287,260,260,285,232,217,216
Profit before tax,227,218,266,335,379,455,348,608,879,569,169,494,741
Tax %,35%,42%,35%,32%,31%,34%,34%,35%,36%,25%,33%,26%,
Net Profit,147,127,173,226,260,299,230,395,563,428,114,366,551
EPS in Rs,5.79,4.79,6.51,8.55,9.83,11.28,8.68,14.91,21.29,16.18,4.28,13.82,20.81
