,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Sales +,2.44,2.89,2.75,0.83,0.05,-0.04,0.00,0.00
Expenses +,3.44,6.44,4.10,3.09,3.85,1.74,1.19,1.24
Operating Profit,-1.00,-3.55,-1.35,-2.26,-3.80,-1.78,-1.19,-1.24
OPM %,-40.98%,-122.84%,-49.09%,-272.29%,"-7,600.00%",,,
Other Income +,0.83,4.67,1.48,2.30,9.09,5.62,4.10,1.16
Interest,0.85,3.80,0.97,0.75,0.07,0.05,0.00,0.00
Depreciation,3.80,3.18,3.18,3.09,3.07,3.07,3.07,3.07
Profit before tax,-4.82,-5.86,-4.02,-3.80,2.15,0.72,-0.16,-3.15
Tax %,12.45%,0.00%,0.00%,-0.53%,0.47%,0.00%,0.00%,-0.63%
Net Profit,-4.22,-5.86,-4.02,-3.82,2.14,0.72,-0.16,-3.17
EPS in Rs,,,,,,0.14,-0.03,-0.62
