,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,420","4,270","5,132","5,762","5,751","5,749","5,861","7,518","9,111","5,976","6,099","6,130","5,889"
Expenses +,"2,854","3,379","4,134","4,763","5,141","4,493","4,510","5,995","7,367","4,428","4,695","4,980","5,039"
Operating Profit,565,891,999,999,610,"1,256","1,352","1,522","1,744","1,548","1,403","1,150",850
OPM %,17%,21%,19%,17%,11%,22%,23%,20%,19%,26%,23%,19%,14%
Other Income +,-25,-318,-93,-173,86,4,19,36,-249,225,263,8,-28
Interest,120,238,311,337,368,371,341,284,220,200,184,145,158
Depreciation,180,221,254,281,288,347,291,415,371,340,349,382,382
Profit before tax,241,114,341,207,40,542,738,859,904,"1,233","1,133",630,281
Tax %,6%,60%,45%,34%,200%,29%,22%,26%,36%,27%,26%,34%,
Net Profit,227,46,189,138,-40,387,575,634,577,898,836,413,162
EPS in Rs,14.42,0.91,9.59,6.84,-3.63,24.60,36.14,40.35,36.06,56.39,52.47,25.98,10.23
