,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,91.51,103.72,26.19,14.56,5.68,0.57,0.28,0.31,0.22,0.18,2.27,0.14,0.16
Expenses +,81.48,92.25,21.17,22.25,6.56,56.18,4.99,1.18,9.60,6.29,2.95,1.53,1.75
Operating Profit,10.03,11.47,5.02,-7.69,-0.88,-55.61,-4.71,-0.87,-9.38,-6.11,-0.68,-1.39,-1.59
OPM %,10.96%,11.06%,19.17%,-52.82%,-15.49%,"-9,756.14%","-1,682.14%",-280.65%,"-4,263.64%","-3,394.44%",-29.96%,-992.86%,-993.75%
Other Income +,0.48,0.36,0.29,0.43,0.92,1.24,0.68,0.29,26.40,0.30,5.61,2.64,4.23
Interest,5.18,6.86,6.89,6.36,6.59,-0.03,-0.40,0.07,0.00,0.03,0.02,0.03,0.01
Depreciation,0.48,0.43,0.40,0.37,0.91,0.47,0.46,0.44,0.44,0.42,0.38,0.28,0.21
Profit before tax,4.85,4.54,-1.98,-13.99,-7.46,-54.81,-4.09,-1.09,16.58,-6.26,4.53,0.94,2.42
Tax %,42.47%,32.60%,-1.01%,0.21%,2.28%,0.09%,1.47%,10.09%,-35.59%,1.76%,85.87%,54.26%,
Net Profit,2.79,3.07,-2.01,-13.96,-7.29,-54.76,-3.89,-0.99,22.49,-6.15,0.64,0.43,2.00
EPS in Rs,1.43,1.57,-1.03,-4.03,-2.11,-15.81,-1.12,-0.30,6.49,-1.78,0.18,0.12,0.55
