,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,434,424,483,453,390,503,502,520,578,618,609,675,765
Expenses +,380,363,421,394,331,435,436,451,514,539,524,590,675
Operating Profit,54,61,62,59,59,68,65,69,63,79,85,84,91
OPM %,13%,14%,13%,13%,15%,14%,13%,13%,11%,13%,14%,12%,12%
Other Income +,5,6,8,7,7,10,13,18,17,5,7,7,3
Interest,21,26,32,38,41,39,38,39,42,41,39,39,38
Depreciation,12,15,19,20,20,19,17,22,23,24,22,20,20
Profit before tax,27,26,19,8,6,20,24,25,15,19,30,32,36
Tax %,27%,28%,24%,18%,29%,36%,24%,19%,15%,31%,33%,29%,
Net Profit,20,18,14,6,4,13,18,21,13,13,20,23,29
EPS in Rs,,2.71,2.35,0.87,0.70,2.11,3.05,3.43,2.02,2.58,3.47,4.18,5.18
