,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,560.99,571.93,842.49,396.39,102.53,91.60,3.09,7.72,6.59,12.80,3.50,4.26,0.95
Expenses +,511.49,564.93,798.46,388.50,94.40,122.95,14.86,18.41,10.50,14.95,12.71,6.00,2.48
Operating Profit,49.50,7.00,44.03,7.89,8.13,-31.35,-11.77,-10.69,-3.91,-2.15,-9.21,-1.74,-1.53
OPM %,8.82%,1.22%,5.23%,1.99%,7.93%,-34.22%,-380.91%,-138.47%,-59.33%,-16.80%,-263.14%,-40.85%,-161.05%
Other Income +,4.01,27.53,15.76,8.57,11.24,0.76,1.66,0.59,0.64,0.78,8.29,0.01,0.15
Interest,8.51,8.86,10.15,12.45,17.45,22.96,0.78,0.59,0.60,0.58,0.56,0.55,0.59
Depreciation,1.30,1.31,1.21,1.01,1.16,0.63,0.75,0.64,0.51,0.46,0.42,0.45,0.46
Profit before tax,43.70,24.36,48.43,3.00,0.76,-54.18,-11.64,-11.33,-4.38,-2.41,-1.90,-2.73,-2.43
Tax %,1.05%,11.82%,1.80%,-0.67%,14.47%,-1.09%,-32.22%,0.35%,-2.97%,-2.07%,-9.47%,-0.73%,
Net Profit,43.24,21.48,47.56,3.02,0.64,-54.78,-15.38,-11.29,-4.52,-2.46,-2.07,-2.74,-2.46
EPS in Rs,1.36,0.67,1.50,0.10,0.02,-1.73,-0.49,-0.36,-0.14,-0.08,-0.07,-0.09,-0.07
