,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,687,926,"1,251","1,530","2,007","2,505","3,041","3,624","4,448","5,201","4,881","6,480","7,414"
Expenses +,731,944,"1,256","1,518","1,983","2,479","3,004","3,556","4,354","5,108","4,784","6,337","7,278"
Operating Profit,-44,-19,-5,12,24,26,37,69,94,93,97,142,136
OPM %,-6%,-2%,-0%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%
Other Income +,11,6,5,8,11,15,22,16,18,31,32,-52,34
Interest,0,0,1,0,0,1,1,2,5,12,7,4,4
Depreciation,7,4,4,2,3,3,6,9,11,29,34,41,39
Profit before tax,-39,-16,-4,18,33,38,52,73,96,83,89,46,127
Tax %,-0%,-0%,-0%,-0%,6%,34%,-12%,-1%,-2%,58%,11%,13%,
Net Profit,-39,-16,-4,18,31,25,58,73,98,35,78,39,120
EPS in Rs,-99.35,-32.29,-7.24,34.95,60.23,14.51,33.67,42.97,57.34,20.46,45.33,22.48,69.77
