,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,145","1,024",981,"1,131","1,090","1,143",930,"1,031","1,175","1,371","1,211","1,790","2,286"
Expenses +,"1,174","1,084","1,026","1,084","1,065","1,106",962,"1,055","1,113","1,285","1,109","1,585","2,013"
Operating Profit,-29,-60,-45,48,25,37,-32,-23,62,86,101,206,273
OPM %,-2%,-6%,-5%,4%,2%,3%,-3%,-2%,5%,6%,8%,11%,12%
Other Income +,10,5,9,16,91,78,42,47,15,36,12,11,21
Interest,36,39,38,40,47,40,36,37,33,37,34,40,31
Depreciation,39,37,34,27,33,22,18,16,19,55,53,59,67
Profit before tax,-93,-132,-108,-4,36,53,-45,-30,25,30,27,117,197
Tax %,4%,-1%,-1%,-80%,2%,-15%,-5%,-3%,-2%,0%,0%,-0%,
Net Profit,-90,-132,-109,-7,35,61,-47,-31,26,30,26,117,176
EPS in Rs,-26.18,-38.48,-31.81,-1.95,10.03,17.63,-13.53,-8.87,5.97,7.10,6.18,19.85,29.51
