,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,109.58,110.35,108.92,104.71,109.77,124.12,124.48,118.10,122.43,122.39,34.66,52.44,95.30
Expenses +,68.69,73.18,76.82,74.36,75.86,91.94,99.57,109.29,126.05,130.83,54.42,86.77,101.01
Operating Profit,40.89,37.17,32.10,30.35,33.91,32.18,24.91,8.81,-3.62,-8.44,-19.76,-34.33,-5.71
OPM %,37.32%,33.68%,29.47%,28.98%,30.89%,25.93%,20.01%,7.46%,-2.96%,-6.90%,-57.01%,-65.47%,-5.99%
Other Income +,-0.18,-0.04,0.17,-123.49,-0.27,19.19,-4.16,-409.07,3.09,4.58,5.88,18.29,7.23
Interest,23.27,23.14,23.85,24.05,25.59,27.06,27.96,22.75,2.42,0.79,0.61,0.75,0.98
Depreciation,14.51,14.68,14.90,15.03,14.09,13.40,8.84,10.39,10.83,10.49,9.94,9.11,9.10
Profit before tax,2.93,-0.69,-6.48,-132.22,-6.04,10.91,-16.05,-433.40,-13.78,-15.14,-24.43,-25.90,-8.56
Tax %,72.70%,-218.84%,-6.94%,0.01%,-0.50%,-0.27%,-6.23%,-2.30%,-14.30%,-11.29%,15.80%,-1.54%,
Net Profit,0.80,-2.21,-6.93,-132.20,-6.78,10.94,-14.58,-443.36,-15.76,-16.86,-20.57,-26.31,-8.92
EPS in Rs,0.19,-0.52,-1.63,-31.18,-1.60,2.58,-3.44,-104.55,-3.72,-3.98,-4.85,-6.20,-2.11
