,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,179,205,243,286,302,300,318,315,286,333,342,345
Expenses +,83,101,157,194,200,210,198,187,195,192,235,261
Operating Profit,96,104,85,92,102,90,120,128,92,141,107,85
OPM %,53%,51%,35%,32%,34%,30%,38%,41%,32%,42%,31%,25%
Other Income +,6,11,11,8,10,25,30,33,31,24,19,18
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,4,11,20,24,31,27,24,22,19,17,17
Profit before tax,99,110,86,80,88,84,123,137,101,146,109,85
Tax %,31%,30%,32%,33%,34%,37%,33%,33%,27%,27%,23%,
Net Profit,68,77,58,54,58,53,83,92,74,107,83,65
EPS in Rs,89.31,100.74,9.56,8.81,8.27,7.59,11.79,13.01,11.59,16.66,14.34,11.15
