,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,102","1,417","1,619","1,440","1,228",870,859,"2,748","6,591","2,145","1,254","2,201","2,590"
Expenses +,880,"1,175","1,326","1,193","1,046",733,778,"1,027","1,930","2,150","1,308","1,670","1,915"
Operating Profit,222,242,293,247,182,137,81,"1,721","4,662",-5,-53,530,676
OPM %,20%,17%,18%,17%,15%,16%,9%,63%,71%,-0%,-4%,24%,26%
Other Income +,25,-77,-42,-4,15,4,7,12,106,143,114,117,73
Interest,22,41,64,72,77,60,55,56,18,37,11,7,16
Depreciation,57,58,63,73,75,79,74,73,72,72,73,79,87
Profit before tax,168,67,125,97,44,1,-41,"1,605","4,677",29,-23,560,646
Tax %,23%,7%,16%,11%,12%,886%,-23%,33%,35%,-82%,23%,23%,
Net Profit,121,57,100,81,36,4,-44,"1,099","3,026",68,-18,431,571
EPS in Rs,28.33,14.32,25.13,20.20,9.12,1.10,-11.03,275.12,784.07,17.52,-4.65,111.68,147.86
