,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,809,"1,410","1,699","1,968","2,318",925,979,"1,475","4,943","5,175","4,498","5,526","6,002"
Expenses +,769,"1,469","1,586","1,757","2,146",794,948,"1,416","4,629","4,470","3,690","4,486","5,631"
Operating Profit,40,-59,113,211,172,131,31,59,314,705,808,"1,040",371
OPM %,5%,-4%,7%,11%,7%,14%,3%,4%,6%,14%,18%,19%,6%
Other Income +,15,122,43,4,-102,34,43,98,71,104,122,127,162
Interest,51,120,144,61,48,19,22,27,101,142,88,38,77
Depreciation,18,34,42,56,40,35,56,69,132,166,139,113,114
Profit before tax,-13,-90,-30,99,-17,112,-4,61,152,502,703,"1,016",341
Tax %,-33%,-6%,-42%,14%,-123%,3%,-599%,85%,-39%,17%,-6%,9%,
Net Profit,-17,-96,-42,89,-26,195,6,9,210,417,746,926,329
EPS in Rs,-0.15,-0.43,-0.15,0.61,0.26,1.14,0.04,0.06,0.97,1.41,2.66,3.41,1.31
