,Mar 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,82,"1,158","1,228","1,165","1,235","1,406","1,205",867,707,574,894,"1,018"
Expenses +,76,"1,076","1,128","1,081","1,146","1,287","1,117",827,769,547,859,"1,032"
Operating Profit,6,82,100,85,90,119,88,40,-62,27,34,-14
OPM %,7%,7%,8%,7%,7%,8%,7%,5%,-9%,5%,4%,-1%
Other Income +,1,-11,-16,1,5,9,9,-55,-2,0,21,20
Interest,2,22,31,37,44,50,51,63,41,3,27,20
Depreciation,3,20,25,20,20,20,53,47,40,36,31,29
Profit before tax,1,29,28,29,31,57,-6,-124,-146,-12,-3,-43
Tax %,35%,34%,32%,24%,38%,32%,58%,6%,4%,41%,204%,
Net Profit,1,19,19,22,19,39,-3,-117,-139,-7,3,-38
EPS in Rs,0.13,1.84,1.86,2.09,1.83,3.75,-0.25,-11.28,-13.46,-0.69,0.28,-3.64
