,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,223,383,486,598,512,621,808,"1,020","1,095","1,105","1,234",966
Expenses +,174,319,436,597,436,549,694,876,969,972,"1,057",816
Operating Profit,50,64,49,1,75,72,114,145,126,134,177,150
OPM %,22%,17%,10%,0%,15%,12%,14%,14%,12%,12%,14%,15%
Other Income +,7,11,20,48,11,23,16,17,14,16,49,17
Interest,0,3,6,5,3,1,2,4,3,3,4,4
Depreciation,17,21,20,21,23,24,27,33,35,30,32,11
Profit before tax,39,51,44,23,60,70,101,125,102,116,190,152
Tax %,17%,13%,15%,30%,1%,2%,28%,31%,38%,34%,31%,
Net Profit,32,44,38,16,59,68,73,87,63,77,131,145
EPS in Rs,,6.05,5.17,1.11,7.51,9.22,9.45,10.91,7.28,8.57,16.22,22.16
