,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,609","5,485","6,185","6,913","7,858","8,397","9,054","9,914","11,055","11,600","13,136","14,136","15,206"
Expenses +,"4,393","5,174","5,765","6,286","6,988","7,174","7,776","8,413","9,322","9,756","10,627","11,935","12,905"
Operating Profit,216,311,421,627,870,"1,224","1,278","1,501","1,732","1,843","2,509","2,201","2,301"
OPM %,5%,6%,7%,9%,11%,15%,14%,15%,16%,16%,19%,16%,15%
Other Income +,79,59,52,34,228,115,151,166,206,263,313,222,217
Interest,44,42,41,8,4,5,5,8,9,77,111,144,167
Depreciation,65,62,73,83,144,113,119,142,162,185,198,201,204
Profit before tax,187,267,358,569,950,"1,220","1,304","1,518","1,768","1,844","2,514","2,078","2,147"
Tax %,28%,25%,27%,30%,28%,32%,32%,34%,35%,24%,26%,27%,
Net Profit,134,200,260,395,689,825,885,"1,004","1,155","1,394","1,851","1,516","1,573"
EPS in Rs,5.62,8.35,10.85,16.48,28.71,34.36,36.85,41.83,48.23,58.33,77.38,63.31,65.67
