,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,093","2,545","2,907","2,790","3,401","4,362","4,010","4,854","5,259","5,802","6,606","7,991","8,879"
Expenses +,"1,815","2,031","2,348","2,437","2,948","3,816","3,284","4,064","4,420","4,556","5,022","6,478","7,421"
Operating Profit,278,514,559,353,453,546,726,789,839,"1,246","1,585","1,513","1,458"
OPM %,13%,20%,19%,13%,13%,13%,18%,16%,16%,21%,24%,19%,16%
Other Income +,36,38,47,48,67,50,79,110,76,53,67,112,107
Interest,119,144,140,153,229,305,303,284,261,276,253,270,276
Depreciation,113,126,129,134,146,197,217,231,241,288,306,342,390
Profit before tax,82,283,338,114,144,94,286,383,412,734,"1,093","1,013",900
Tax %,24%,38%,32%,34%,2%,41%,40%,25%,36%,34%,36%,33%,
Net Profit,63,175,230,75,142,55,172,286,264,483,703,679,611
EPS in Rs,8.96,24.96,33.00,11.03,20.54,8.27,25.42,41.41,34.99,63.73,91.85,88.93,80.10
