,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,276,317,345,355,367,311,335,358,347,291,116,219,320
Expenses +,206,248,281,301,306,278,286,302,295,253,148,196,240
Operating Profit,70,69,64,55,60,33,49,56,51,38,-32,23,79
OPM %,25%,22%,19%,15%,16%,11%,15%,16%,15%,13%,-28%,11%,25%
Other Income +,5,7,16,-15,3,-6,5,4,104,7,7,7,10
Interest,15,21,29,31,32,32,32,31,27,24,22,22,21
Depreciation,21,25,32,35,33,24,25,28,28,28,29,26,24
Profit before tax,38,29,18,-26,-2,-28,-3,2,100,-6,-76,-18,44
Tax %,26%,30%,-5%,6%,125%,29%,-15%,136%,13%,-3%,29%,29%,
Net Profit,30,23,17,-24,1,-12,5,6,92,-8,-71,-20,27
EPS in Rs,1.63,1.26,0.87,-1.27,0.09,-0.69,0.28,0.34,5.13,-0.46,-3.99,-1.13,1.53
