,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,202,362,388,220,187,167,122,111,76,53,25,12
Expenses +,129,262,306,144,102,67,53,59,24,3,2,12
Operating Profit,72,100,82,76,86,101,69,52,52,50,23,-1
OPM %,36%,28%,21%,34%,46%,60%,57%,47%,68%,95%,91%,-8%
Other Income +,13,9,8,-25,5,16,50,9,15,8,15,0
Interest,1,1,1,3,5,10,11,10,8,8,8,8
Depreciation,14,15,32,54,84,93,89,83,78,56,49,32
Profit before tax,72,93,56,-6,2,14,20,-31,-19,-6,-19,-41
Tax %,1%,2%,5%,-46%,107%,6%,4%,11%,3%,0%,0%,0%
Net Profit,71,90,54,-9,-0,13,19,-27,-18,-6,-19,-41
EPS in Rs,,10.36,5.77,-0.88,-0.03,1.33,2.20,-2.43,-1.67,-0.58,-1.75,-3.70
