,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,277,307,304,335,544,543,450,573,687,632,649,867,892
Expenses +,231,251,263,303,504,464,353,466,532,449,430,605,686
Operating Profit,46,57,41,32,40,79,97,108,155,183,219,262,206
OPM %,17%,18%,13%,10%,7%,14%,22%,19%,23%,29%,34%,30%,23%
Other Income +,8,-4,22,23,8,12,-48,9,-51,-315,-7,-212,-60
Interest,13,11,9,10,53,49,15,18,18,24,24,38,33
Depreciation,10,11,12,16,50,47,27,41,55,88,81,85,88
Profit before tax,31,30,42,29,-56,-4,7,58,30,-243,107,-73,26
Tax %,33%,50%,35%,26%,22%,-12%,336%,52%,121%,-11%,29%,-62%,
Net Profit,21,15,27,21,-43,-5,-16,28,-6,-271,76,-118,-10
EPS in Rs,0.53,0.37,0.78,0.61,-0.99,-0.18,-0.42,0.42,-0.15,-5.76,1.61,-1.88,-0.15
