,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,"3,230","3,769","3,125","2,675","3,189",772,300,276,108,167,216,225,165
Expenses +,"2,957","3,417","2,713","2,189","3,200",996,423,"1,463",545,207,217,227,190
Operating Profit,273,352,412,486,-12,-225,-124,"-1,188",-437,-40,-2,-2,-24
OPM %,8%,9%,13%,18%,-0%,-29%,-41%,-431%,-404%,-24%,-1%,-1%,-15%
Other Income +,89,52,28,16,20,45,-165,6,-125,11,13,8,8
Interest,155,166,210,298,396,51,82,54,19,35,59,34,37
Depreciation,69,82,143,142,253,135,208,187,172,139,122,106,106
Profit before tax,139,157,87,63,-641,-365,-579,"-1,423",-752,-203,-169,-134,-159
Tax %,32%,22%,40%,29%,-3%,8%,0%,-0%,-0%,-3%,-1%,-3%,
Net Profit,95,123,52,44,-660,-337,-579,"-1,423",-753,-209,-172,-137,-163
EPS in Rs,22.21,22.94,9.80,8.32,-123.82,-63.22,-58.53,-143.84,-60.24,-16.76,-13.73,-10.99,-13.01
