,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,239,285,324,367,406,450,482,547,567,599,463,698,"1,001"
Expenses +,215,249,287,327,367,391,425,499,494,521,428,599,836
Operating Profit,24,36,37,40,39,58,57,48,73,79,36,99,165
OPM %,10%,13%,11%,11%,10%,13%,12%,9%,13%,13%,8%,14%,16%
Other Income +,3,3,7,2,3,1,3,6,10,10,16,8,12
Interest,12,20,25,25,26,21,16,15,14,17,21,19,17
Depreciation,8,10,11,13,13,14,15,16,17,24,23,24,27
Profit before tax,7,9,8,4,4,24,29,23,52,48,8,64,132
Tax %,34%,37%,39%,36%,36%,40%,35%,32%,36%,14%,40%,30%,
Net Profit,5,6,5,2,2,15,19,16,33,41,5,45,96
EPS in Rs,6.52,8.06,7.00,3.20,3.39,20.53,26.52,21.79,46.41,57.57,6.44,62.19,133.69
