,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,47,84,74,95,60,47,64,114,115,112,80,120,155
Expenses +,29,51,35,42,47,40,48,78,96,98,81,92,108
Operating Profit,18,32,39,53,13,7,16,36,19,13,-2,28,46
OPM %,38%,39%,53%,56%,21%,16%,25%,32%,17%,12%,-2%,23%,30%
Other Income +,0,1,1,-1,2,6,3,4,3,4,-30,-42,-40
Interest,0,1,0,0,2,2,2,2,3,3,4,3,2
Depreciation,2,2,2,7,8,7,13,14,19,21,19,19,27
Profit before tax,16,31,38,45,5,5,5,24,0,-7,-54,-36,-22
Tax %,4%,-1%,13%,-1%,11%,6%,-41%,28%,"1,108%",23%,5%,-11%,
Net Profit,15,31,33,46,4,2,6,17,-4,-5,-52,-40,-29
EPS in Rs,6.49,10.40,10.97,15.42,1.43,0.73,2.11,5.50,1.73,0.61,-13.75,4.28,7.39
