,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Dec 2022
Share Capital +,286,286,286,286,572,"1,144","1,144","1,088","2,170","2,122","2,124","2,098","2,086"
Reserves,"25,690","31,046","37,708","44,244","50,164","60,600","67,838","63,835","62,778","63,328","74,227","73,252","72,206"
Borrowings +,0,0,0,0,0,0,0,0,0,"4,633","5,325","5,474","7,720"
Other Liabilities +,"5,317","7,025","8,281","12,436","15,553","13,354","14,166","14,426","19,118","21,717","25,835","35,905","43,954"
Total Liabilities,"31,293","38,357","46,275","56,966","66,289","75,098","83,148","79,349","84,066","91,800","107,511","116,729","125,966"
Fixed Assets +,"5,235","5,555","7,139","8,378","11,346","13,386","14,179","12,574","15,710","23,789","25,505","25,800","28,980"
CWIP,264,590,"1,140",961,776,960,"1,365","1,606","1,388",954,922,416,0
Investments,144,372,"2,116","4,331","2,270","1,892","16,423","12,163","11,261","8,792","14,205","20,324","21,116"
Other Assets +,"25,650","31,840","35,880","43,296","51,897","58,860","51,181","53,006","55,707","58,265","66,879","70,189","75,870"
Total Assets,"31,293","38,357","46,275","56,966","66,289","75,098","83,148","79,349","84,066","91,800","107,511","116,729","125,966"
