,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,543","7,435","7,510","8,384","10,256","11,377","12,463","16,340","20,160","18,849","19,421","24,355","29,059"
Expenses +,"6,180","6,977","7,072","7,892","9,650","10,558","11,591","14,769","17,997","16,585","17,189","21,601","25,498"
Operating Profit,363,459,438,492,605,819,871,"1,571","2,163","2,264","2,232","2,755","3,561"
OPM %,6%,6%,6%,6%,6%,7%,7%,10%,11%,12%,11%,11%,12%
Other Income +,20,15,130,44,80,93,163,71,25,12,36,-5,86
Interest,71,88,103,80,62,70,60,338,663,855,881,940,"1,127"
Depreciation,134,158,176,149,179,262,317,374,442,556,565,743,808
Profit before tax,178,227,290,307,444,580,658,931,"1,083",865,822,"1,067","1,713"
Tax %,28%,42%,32%,39%,28%,26%,23%,29%,33%,25%,26%,31%,
Net Profit,128,132,198,187,328,429,509,665,725,647,608,731,"1,181"
EPS in Rs,2.69,2.79,4.16,3.92,6.91,9.03,10.76,13.73,14.83,13.15,12.51,15.93,25.61
