,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,335,367,393,407,426,413,358,412,690,800
Expenses +,291,287,336,331,368,361,323,372,561,665
Operating Profit,43,80,57,76,58,52,35,40,129,135
OPM %,13%,22%,15%,19%,14%,13%,10%,10%,19%,17%
Other Income +,20,13,6,5,6,16,8,3,22,34
Interest,39,31,27,21,18,22,26,44,43,48
Depreciation,31,30,22,21,33,32,34,48,50,54
Profit before tax,-7,32,15,38,14,14,-16,-49,57,67
Tax %,99%,30%,40%,7%,-28%,-12%,31%,24%,67%,
Net Profit,-0,23,103,145,115,104,92,101,167,79
EPS in Rs,-0.05,24.52,111.43,157.82,125.48,113.55,100.08,109.98,181.07,85.77
