,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,274,393,509,546,597,750,856,982,"1,074","1,212","1,347","1,588"
Expenses +,215,307,414,427,425,480,533,637,702,781,858,"1,074"
Operating Profit,59,86,95,118,172,269,322,345,372,431,489,515
OPM %,21%,22%,19%,22%,29%,36%,38%,35%,35%,36%,36%,32%
Other Income +,1,1,9,7,3,25,26,31,12,9,22,18
Interest,1,1,0,0,0,1,11,23,2,2,4,19
Depreciation,3,3,5,16,20,23,26,36,50,43,65,100
Profit before tax,55,83,98,109,154,270,312,317,331,394,442,414
Tax %,33%,30%,28%,18%,13%,9%,6%,8%,11%,10%,8%,
Net Profit,37,58,71,89,135,247,295,291,297,355,406,393
EPS in Rs,"2,686.55","4,232.73","5,121.45","6,489.45","9,714.18",17.95,21.39,21.15,21.84,26.16,29.88,29.21
