,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,605,673,948,957,"1,103","1,146","1,337","1,873","1,979","1,816","1,615","2,987","3,425"
Expenses +,499,607,861,904,989,"1,015","1,064","1,489","1,654","1,581","1,321","1,912","2,270"
Operating Profit,106,66,86,53,114,132,273,384,325,235,294,"1,075","1,156"
OPM %,18%,10%,9%,6%,10%,11%,20%,21%,16%,13%,18%,36%,34%
Other Income +,7,7,5,3,1,4,8,15,26,66,24,27,-6
Interest,7,4,19,21,22,17,12,8,8,6,3,3,1
Depreciation,10,10,19,23,27,23,25,15,16,16,16,17,19
Profit before tax,96,60,54,12,66,96,244,376,327,279,299,"1,082","1,130"
Tax %,25%,25%,19%,9%,21%,18%,26%,22%,22%,20%,23%,24%,
Net Profit,73,45,44,11,53,79,180,292,255,222,230,818,870
EPS in Rs,24.98,15.59,15.25,3.91,18.08,27.09,61.72,100.24,87.67,76.27,79.29,281.01,298.92
