,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"58,167","72,424","68,303","70,608","74,120","77,861","78,164","85,244","99,586","96,080","90,026","109,714","126,071"
Expenses +,"44,739","57,131","50,216","52,842","56,777","59,147","65,716","75,956","74,579","74,500","71,398","85,016","90,804"
Operating Profit,"13,428","15,293","18,087","17,766","17,343","18,714","12,448","9,288","25,007","21,581","18,628","24,697","35,266"
OPM %,23%,21%,26%,25%,23%,24%,16%,11%,25%,22%,21%,23%,28%
Other Income +,"4,876","8,005","8,752","7,169","6,570","5,939","5,316","4,975","5,834","6,444","3,742","3,889","5,198"
Interest,76,56,46,59,9,388,410,430,264,503,642,541,538
Depreciation,"1,765","1,969","1,813","1,996","2,320","2,826","2,907","3,063","3,450","3,451","3,718","4,429","4,524"
Profit before tax,"16,463","21,273","24,979","22,880","21,584","21,440","14,446","10,770","27,127","24,071","18,009","23,616","35,402"
Tax %,34%,30%,31%,34%,36%,33%,36%,35%,36%,31%,29%,26%,
Net Profit,"10,867","14,788","17,356","15,112","13,727","14,267","9,280","7,038","17,464","16,700","12,702","17,378","26,150"
EPS in Rs,17.21,23.41,27.48,23.92,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,42.40
