,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,086","1,652","2,234","2,177","2,691","3,028","2,761","4,142","3,889","2,552",888,626,793
Expenses +,953,"1,462","1,935","1,856","2,312","2,536","2,217","3,522","3,445","2,909",969,625,712
Operating Profit,133,190,299,321,379,492,544,620,444,-357,-80,1,81
OPM %,12%,12%,13%,15%,14%,16%,20%,15%,11%,-14%,-9%,0%,10%
Other Income +,72,68,50,64,64,154,137,215,358,"3,176",-78,72,93
Interest,92,123,210,278,326,359,317,349,353,519,261,53,-23
Depreciation,98,147,203,249,257,252,227,260,270,430,400,148,132
Profit before tax,15,-13,-64,-142,-141,35,137,225,179,"1,870",-820,-128,65
Tax %,56%,-37%,-16%,2%,-11%,127%,40%,34%,18%,1%,20%,-2%,
Net Profit,15,22,-14,-63,-65,-10,82,148,147,"1,849",-652,-131,64
EPS in Rs,12.43,13.71,-15.03,-54.07,-57.41,-2.06,2.28,5.03,6.04,89.16,-27.64,-5.71,2.93
