,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,129,175,185,97,85,65,46,44,42
Expenses +,110,153,162,114,85,71,81,57,41
Operating Profit,19,22,23,-18,1,-6,-35,-13,1
OPM %,15%,13%,12%,-18%,1%,-9%,-77%,-30%,3%
Other Income +,1,3,2,43,2,1,31,1,-22
Interest,8,12,13,13,13,11,7,2,0
Depreciation,6,8,9,6,5,4,4,3,3
Profit before tax,5,5,2,6,-15,-20,-15,-17,-24
Tax %,64%,27%,42%,-2%,1%,4%,-15%,-6%,0%
Net Profit,2,4,1,6,-15,-19,-17,-18,-24
EPS in Rs,1.00,2.12,0.75,3.31,-7.52,-10.23,-7.08,-7.98,-104.54
