,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,"7,297","8,489","9,749","9,161","9,955","9,437","20,094","23,609","26,041","27,104","24,516","28,965","30,701"
Expenses +,"5,591","6,490","7,276","7,492","8,022","7,895","16,913","19,751","22,030","22,507","19,511","22,755","26,699"
Operating Profit,"1,705","1,998","2,473","1,669","1,934","1,542","3,181","3,858","4,011","4,597","5,006","6,210","4,002"
OPM %,23%,24%,25%,18%,19%,16%,16%,16%,15%,17%,20%,21%,13%
Other Income +,392,203,69,390,419,353,441,335,232,601,288,252,280
Interest,49,53,78,67,66,92,153,206,170,170,140,146,151
Depreciation,387,446,569,494,513,630,"1,461","1,219","1,154","1,153","1,162","1,152","1,285"
Profit before tax,"1,661","1,701","1,896","1,498","1,774","1,173","2,008","2,768","2,919","3,875","3,992","5,164","2,846"
Tax %,24%,28%,32%,15%,16%,31%,29%,30%,-2%,28%,22%,28%,
Net Profit,"1,263","1,227","1,292","1,278","1,487",808,"1,434","1,945","2,973","2,783","3,107","3,711","2,204"
EPS in Rs,8.26,8.00,8.39,8.27,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.00,9.04
