,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"13,112","18,209","19,807","19,286","19,401","19,469","21,603","33,286","46,966","37,923","34,579","51,166","53,431"
Expenses +,"6,728","11,410","13,701","13,487","13,937","16,032","16,894","26,817","38,553","31,092","23,646","37,089","41,681"
Operating Profit,"6,384","6,799","6,106","5,799","5,464","3,437","4,709","6,469","8,412","6,831","10,933","14,076","11,750"
OPM %,49%,37%,31%,30%,28%,18%,22%,19%,18%,18%,32%,28%,22%
Other Income +,177,310,333,349,"-1,399",-79,-362,-584,"-1,470",74,313,-401,499
Interest,423,533,"1,067","1,807","2,875","3,254","3,441","3,866","4,264","3,768","2,753","1,888","1,574"
Depreciation,"1,151","1,386","1,539","1,829","2,733","4,068","3,949","3,883","5,480","3,429","2,414","2,097","2,095"
Profit before tax,"4,987","5,189","3,833","2,512","-1,543","-3,964","-3,043","-1,864","-2,802",-291,"6,078","9,690","8,580"
Tax %,24%,23%,24%,25%,6%,22%,17%,13%,14%,-37%,30%,30%,
Net Profit,"3,820","4,022","2,952","1,896","-1,452","-3,087","-2,538","-1,616","-2,412",-400,"4,267","6,766","7,063"
EPS in Rs,40.18,42.41,31.13,20.88,-13.97,-32.42,-24.93,-14.56,-17.00,-1.07,35.62,56.40,52.16
