,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,61.76,67.76,73.57,73.65,69.72,51.98,37.17,35.61,41.55,42.76,50.01,60.92,72.20
Expenses +,56.68,61.53,63.98,67.01,64.25,52.36,38.44,35.02,40.98,42.08,49.95,62.27,72.63
Operating Profit,5.08,6.23,9.59,6.64,5.47,-0.38,-1.27,0.59,0.57,0.68,0.06,-1.35,-0.43
OPM %,8.23%,9.19%,13.04%,9.02%,7.85%,-0.73%,-3.42%,1.66%,1.37%,1.59%,0.12%,-2.22%,-0.60%
Other Income +,1.06,0.66,0.26,1.79,0.97,0.25,0.37,0.28,0.25,0.05,0.40,2.74,1.20
Interest,1.46,1.56,0.99,0.50,0.11,0.25,0.08,0.32,0.31,0.33,0.24,0.15,0.26
Depreciation,1.93,1.97,1.73,4.77,4.77,4.60,0.40,0.38,0.37,0.33,0.33,0.38,0.44
Profit before tax,2.75,3.36,7.13,3.16,1.56,-4.98,-1.38,0.17,0.14,0.07,-0.11,0.86,0.07
Tax %,21.45%,17.56%,35.90%,37.97%,275.00%,76.10%,92.03%,-788.24%,728.57%,285.71%,-427.27%,41.86%,
Net Profit,2.16,2.77,4.58,1.96,-2.73,-1.20,-0.11,1.52,-0.88,-0.13,-0.57,0.51,-0.18
EPS in Rs,1.15,1.47,2.44,1.04,-1.45,-0.64,-0.06,0.81,-0.47,-0.07,-0.30,0.15,-0.05
