,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,260","1,452","1,592","1,860","2,010","2,049","2,258","2,311","2,463","2,224","1,508","1,769","2,050"
Expenses +,860,"1,111","1,212","1,358","1,446","1,512","1,614","1,746","1,957","1,740","1,201","1,463","1,692"
Operating Profit,400,341,380,502,564,538,644,565,506,484,307,306,358
OPM %,32%,23%,24%,27%,28%,26%,29%,24%,21%,22%,20%,17%,17%
Other Income +,19,22,20,23,24,21,15,23,15,10,25,17,26
Interest,17,12,10,8,8,14,7,7,8,25,24,18,18
Depreciation,43,51,58,64,88,85,86,92,99,121,115,110,109
Profit before tax,359,301,331,452,492,460,565,488,414,348,193,195,257
Tax %,28%,33%,34%,32%,36%,36%,34%,34%,34%,21%,27%,27%,
Net Profit,259,202,218,307,316,292,375,324,274,275,141,143,191
EPS in Rs,14.10,11.03,11.90,16.71,17.23,15.90,20.38,17.60,15.66,15.72,8.08,8.05,10.77
