,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,0,629,860,"1,867","2,586","2,534",912,312,563,378,180,75,51
Expenses +,39,635,698,"1,447","2,023","1,907",830,459,529,557,266,253,250
Operating Profit,-39,-5,162,420,563,626,81,-147,34,-179,-86,-178,-199
OPM %,,-1%,19%,23%,22%,25%,9%,-47%,6%,-47%,-48%,-235%,-389%
Other Income +,62,71,64,24,8,38,31,34,39,-84,"-9,011",-42,-204
Interest,13,73,119,258,399,477,487,537,626,754,"1,368","1,469","1,501"
Depreciation,0,38,52,110,127,166,204,221,208,208,70,72,73
Profit before tax,9,-44,54,77,45,21,-578,-871,-760,"-1,224","-10,536","-1,761","-1,976"
Tax %,50%,-4%,19%,72%,31%,87%,36%,32%,24%,17%,-4%,0%,
Net Profit,5,-46,44,22,31,3,-371,-592,-577,"-1,012","-10,927","-1,761","-1,976"
EPS in Rs,0.08,-0.69,0.66,0.31,0.44,0.04,-5.03,-8.05,-7.84,-13.72,-148.14,-23.87,-26.78
