,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,70.99,90.09,101.76,93.21,88.87,84.58,79.80,54.31,65.19,66.82
Expenses +,37.42,63.90,79.76,74.15,72.51,73.60,72.45,48.99,60.94,64.17
Operating Profit,33.57,26.19,22.00,19.06,16.36,10.98,7.35,5.32,4.25,2.65
OPM %,47.29%,29.07%,21.62%,20.45%,18.41%,12.98%,9.21%,9.80%,6.52%,3.97%
Other Income +,9.71,10.74,12.17,16.22,13.81,16.75,17.73,17.72,16.60,14.10
Interest,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,4.58,11.33,12.32,14.43,13.91,14.20,14.04,13.02,10.14,7.32
Profit before tax,36.56,25.60,21.85,20.85,16.26,13.53,11.04,10.02,10.71,9.43
Tax %,33.73%,10.23%,24.35%,18.37%,33.21%,31.12%,12.14%,3.79%,22.04%,
Net Profit,44.95,22.97,16.53,17.02,10.87,9.32,9.71,9.65,8.35,7.10
EPS in Rs,29.77,15.21,10.95,11.27,7.20,6.17,6.43,6.39,5.53,4.70
