,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,656,944,996,979,"1,062",859,747,897,971,807,841,392
Expenses +,561,802,847,992,"1,062",779,655,801,865,744,765,478
Operating Profit,95,142,150,-13,-0,80,91,96,106,62,76,-86
OPM %,14%,15%,15%,-1%,-0%,9%,12%,11%,11%,8%,9%,-22%
Other Income +,4,8,5,260,6,7,4,6,0,1,-18,67
Interest,32,45,59,52,62,81,77,80,93,111,135,149
Depreciation,6,10,16,18,19,21,21,23,22,20,18,17
Profit before tax,61,95,79,177,-76,-15,-3,-1,-9,-67,-95,-184
Tax %,33%,32%,34%,28%,27%,-7%,-214%,-702%,-29%,34%,31%,39%
Net Profit,41,64,52,127,-59,-16,-9,-4,-12,-44,-66,-112
EPS in Rs,7.96,10.95,8.91,20.68,-8.96,-2.39,-1.38,-0.65,-1.71,-6.56,-9.69,-16.45
