,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,"8,181","10,153","11,275","11,062","11,646","11,706","10,990","13,285","14,802","15,658","13,786","16,152","17,108"
Expenses +,"6,599","8,232","9,078","9,416","10,116","10,123","9,532","11,370","12,754","13,245","11,431","13,154","15,475"
Operating Profit,"1,582","1,921","2,197","1,646","1,529","1,583","1,458","1,915","2,048","2,413","2,355","2,998","1,634"
OPM %,19%,19%,19%,15%,13%,14%,13%,14%,14%,15%,17%,19%,10%
Other Income +,319,191,-72,265,241,-90,115,137,153,332,50,164,178
Interest,58,97,115,114,83,65,79,99,88,86,57,55,56
Depreciation,428,510,569,584,568,663,609,644,603,606,639,601,652
Profit before tax,"1,415","1,505","1,441","1,214","1,120",766,885,"1,310","1,510","2,053","1,709","2,506","1,103"
Tax %,24%,14%,27%,11%,-3%,25%,26%,29%,-1%,33%,16%,26%,
Net Profit,"1,078","1,301","1,059","1,095","1,162",587,658,925,"1,521","1,378","1,430","1,863",817
EPS in Rs,57.39,69.29,56.42,58.31,61.88,31.30,35.06,49.23,80.97,73.35,76.16,99.21,43.51
