,Mar 2011,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,383","2,582","1,240",765,"2,048","2,101","2,259","2,927","4,040","3,212","2,518","2,831","2,843"
Expenses +,"2,074","2,770","1,263",984,"2,362","2,133","2,198","2,779","3,737","3,083","2,298","2,745","2,826"
Operating Profit,310,-188,-23,-220,-314,-32,61,149,303,129,220,86,17
OPM %,13%,-7%,-2%,-29%,-15%,-2%,3%,5%,8%,4%,9%,3%,1%
Other Income +,26,28,7,-25,3,8,1,9,20,49,4,7,9
Interest,203,503,107,10,10,1,4,5,38,19,54,45,54
Depreciation,112,206,143,72,159,154,148,149,143,134,121,88,69
Profit before tax,21,-868,-266,-326,-481,-180,-91,3,142,24,49,-40,-97
Tax %,60%,10%,-0%,1%,0%,-0%,-0%,1%,0%,0%,0%,0%,
Net Profit,8,-782,-266,-322,-480,-180,-91,3,142,24,49,-40,-97
EPS in Rs,7.33,-681.08,-231.69,-280.49,-416.71,-156.72,-71.62,2.32,111.32,18.91,38.84,-31.67,-76.12
