,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,491,474,570,591,528,513,656,747
Expenses +,361,347,420,462,424,391,531,610
Operating Profit,131,126,150,129,104,122,126,137
OPM %,27%,27%,26%,22%,20%,24%,19%,18%
Other Income +,6,11,13,22,20,20,20,21
Interest,3,1,1,1,2,4,2,2
Depreciation,16,17,17,18,18,18,20,20
Profit before tax,117,120,145,132,104,120,123,136
Tax %,34%,32%,33%,32%,23%,25%,23%,
Net Profit,77,82,97,90,80,90,94,105
EPS in Rs,16.68,17.81,21.38,19.76,17.60,20.13,21.17,23.75
