,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,11,11,11,11,12,10
Reserves,795,926,"1,047","1,174","1,302","1,566","1,650","1,783","2,028","2,177","2,572","2,917","3,120"
Borrowings +,226,330,304,239,277,132,73,27,41,356,395,336,358
Other Liabilities +,354,396,456,518,484,452,474,645,786,752,755,838,"1,015"
Total Liabilities,"1,385","1,662","1,817","1,941","2,073","2,159","2,208","2,465","2,866","3,295","3,732","4,102","4,504"
Fixed Assets +,324,567,741,707,675,695,700,650,694,"1,015","1,034",983,949
CWIP,182,139,16,46,65,49,13,18,14,17,26,42,19
Investments,322,325,286,327,273,410,507,924,"1,232","1,251","1,554","1,844","2,220"
Other Assets +,557,631,773,862,"1,060","1,006",987,872,925,"1,012","1,118","1,234","1,314"
Total Assets,"1,385","1,662","1,817","1,941","2,073","2,159","2,208","2,465","2,866","3,295","3,732","4,102","4,504"
