,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,096","1,393","1,602","1,722","2,073","2,381","1,894","2,373","2,515","2,726","2,473","2,681","3,000"
Expenses +,"1,058","1,339","1,497","1,625","1,989","2,248","1,761","2,628","2,458","3,108","2,212","2,495","2,872"
Operating Profit,38,55,105,97,84,132,134,-255,57,-382,261,186,128
OPM %,3%,4%,7%,6%,4%,6%,7%,-11%,2%,-14%,11%,7%,4%
Other Income +,4,2,0,4,7,5,251,402,138,303,7,2,11
Interest,19,22,19,15,18,17,49,20,23,24,21,6,3
Depreciation,20,21,22,25,34,35,25,38,45,50,46,52,54
Profit before tax,3,13,64,61,39,86,310,90,127,-154,202,130,83
Tax %,62%,32%,22%,26%,28%,36%,10%,30%,35%,-10%,26%,26%,
Net Profit,1,9,50,45,28,55,278,63,83,-169,148,96,59
EPS in Rs,0.24,1.99,10.77,9.76,6.11,11.95,59.29,13.53,17.55,-34.55,32.32,20.81,12.91
