,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,038","3,990","5,325","6,361","7,301","8,464","9,610","8,672","5,206","2,825","1,605","2,245"
Expenses +,"2,707","3,507","4,726","5,631","6,543","7,699","8,620","8,374","4,749","2,410","1,696","2,167"
Operating Profit,332,482,599,730,758,765,990,298,457,415,-91,78
OPM %,11%,12%,11%,11%,10%,9%,10%,3%,9%,15%,-6%,3%
Other Income +,17,20,36,59,50,97,92,77,80,24,53,178
Interest,77,127,153,227,251,286,324,354,374,396,442,481
Depreciation,7,10,12,23,23,22,21,19,37,35,28,27
Profit before tax,265,365,469,540,534,554,737,2,125,8,-508,-252
Tax %,13%,20%,24%,30%,25%,24%,27%,70%,34%,-694%,23%,
Net Profit,231,291,356,378,398,421,536,1,83,62,-391,-86
EPS in Rs,8.62,8.12,9.95,10.56,11.12,11.75,13.58,0.02,2.10,1.33,-8.40,-1.85
