,Mar 2010,Mar 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,817,888,"1,163",153,108,109,85,75,69,66,63,65,64
Expenses +,588,683,"1,117",235,156,97,75,61,85,59,57,60,58
Operating Profit,229,205,46,-82,-48,12,10,14,-16,7,6,6,6
OPM %,28%,23%,4%,-53%,-44%,11%,12%,19%,-24%,11%,9%,9%,9%
Other Income +,14,9,34,63,62,19,-3,2,0,3,0,0,0
Interest,45,61,73,51,70,56,52,52,52,52,52,52,52
Depreciation,49,54,73,53,57,11,6,6,5,5,4,4,4
Profit before tax,150,100,-67,-122,-113,-36,-51,-42,-74,-47,-50,-51,-51
Tax %,30%,-10%,-6%,37%,13%,6%,1%,1%,10%,-9%,2%,1%,
Net Profit,105,110,-71,-77,-99,-33,-51,-42,-66,-51,-49,-50,-51
EPS in Rs,30.87,32.30,-20.96,-22.51,-28.98,-9.83,-14.98,-12.29,-19.48,-15.06,-14.46,-14.77,-15.01
