,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,781","2,261","2,588","2,545","3,157","3,020","2,624"
Expenses +,"1,491","1,905","2,254","2,227","2,765","2,659","2,394"
Operating Profit,290,357,334,318,392,360,230
OPM %,16%,16%,13%,13%,12%,12%,9%
Other Income +,32,19,16,11,9,-75,-41
Interest,138,144,178,185,175,187,219
Depreciation,79,84,87,97,116,83,81
Profit before tax,105,148,85,48,111,16,-110
Tax %,34%,34%,36%,42%,44%,98%,15%
Net Profit,69,98,54,28,62,0,-94
EPS in Rs,2.92,3.91,1.49,0.56,1.04,0.00,-1.47
